SourceCenters,OursWMSE,A57WMSE,WMSEGainVsA57,CI_low,CI_high,N,FixedUpdatesPerAsset,SameInitializationAcrossScales
10,0.004845261832815595,0.005170829042617698,0.06456970861822144,0.038209217693713264,0.09171918988820431,80,2000,True
20,0.004769824875256745,0.005010478435724508,0.04915696739862051,0.022414078523762676,0.07914045272545,80,2000,True
30,0.004787313113047276,0.004984054685337469,0.03777180123190058,0.01548672542054247,0.06544397290879413,80,2000,True
40,0.004806078303954564,0.0049335224175592884,0.03414108130351412,0.007999025420469784,0.06580976892548146,80,2000,True
50,0.004768390850222204,0.004941173078259453,0.04143163327450976,0.015305704036558012,0.076864347397965,80,2000,True
