Variant,MAE,WMSE,Worst10,WMSEGainVsPT,HarmfulSwitchRate,FeasibleOutputRate
full_method,0.04720268056262285,0.00406312879131292,0.015763993945438416,0.15788475665669707,0.15,1.0
legacy_source_bank,0.05203466832172125,0.00487593497891794,0.01904440366779454,0.017493454996971476,0.025,1.0
pt_a57_only,0.05290739645715803,0.005051306932728039,0.019512174051487818,0.0,0.0,1.0
dual_init_a57,0.05231875258032233,0.004917403557192302,0.019136267696740105,0.012943241213586976,0.0125,1.0
without_anchor_protection,0.04719211196061224,0.004055266607610975,0.015689664459205232,0.1615788819781847,0.175,1.0
without_hard_feasibility,0.04710044001694769,0.0040373227915551976,0.015634654799941927,0.1613441208042167,0.1375,0.9625
