Method,WMSE,MAE,Worst10,N
Ours,0.001249749340240669,0.02102370981592685,0.007054534836242965,80
PT+FT,0.0012791254936018958,0.021628139790846036,0.007209720845821721,80
Scratch50,0.011471936086309142,0.08032136110123247,0.034408674293081275,80
