UniqueArchitectures,WMSE,MAE,Worst10,SwitchRate
1,0.004917403557192302,0.05231875258032233,0.019136267696740105,0.0875
2,0.004264557082206011,0.04863395392894745,0.01660161909821909,0.6
3,0.004107689532975201,0.047563954629004,0.015947507182136177,0.6875
4,0.00406312879131292,0.04720268056262285,0.015763993945438416,0.7625
5,0.00406312879131292,0.04720268056262285,0.015763993945438416,0.7625
6,0.00406312879131292,0.04720268056262285,0.015763993945438416,0.7625
