Variant,MAE,WMSE,Worst10,WMSEGainVsPT,HarmfulSwitchRate,FeasibleOutputRate
full_method,0.04720268056262285,0.00406312879131292,0.015763993945438416,0.15788475665669707,0.15,1.0
without_hard_feasibility,0.04710044001694769,0.0040373227915551976,0.015634654799941927,0.1613441208042167,0.1375,0.9625
