Method,MAE,WMSE,Worst10,CVaR90_WMSE,FeasibleRate,OnlineSeconds,Params,FLOPs,AdaptedCandidates
Ours,0.048662582179531455,0.004219294705762877,0.01575515691365581,0.011706208228133619,1.0,15.206689991250006,14892.5,751433.2,6.25
PT+FT,0.05382031572517008,0.005120421673927922,0.019077647311496547,0.013873621355742216,1.0,0.47593435250000005,5746.5,1050784.0,1.0
MeDeT-style,0.06408772193826735,0.0071150307427160445,0.024170043179765344,0.022398212575353682,1.0,0.23362160875000004,5746.5,1050784.0,1.0
Scratch50,0.12561986134387554,0.026201763312565164,0.07329844294581563,0.08687932603061199,1.0,0.22395379625000006,5746.5,1050784.0,1.0
Meta+NAS-lite,0.06427556294947863,0.00710509527270915,0.026500841305823995,0.019088744185864925,1.0,16.29709851500001,30995.3,1468894.4,12.0
Zero-NAS,0.13499793731607496,0.030386670483858326,0.0751921876333654,0.11063406895846128,1.0,1.0778208275,86485.3,481058.4,0.0
Zero-NAS+FT,0.06654437866527588,0.007527162291808054,0.02853947241092101,0.018780700745992362,1.0,22.878002336249992,62075.9,1571621.4,12.0
