method,N_cases,test_wmse_mean,test_mae_mean,test_worst10_mean,case_cvar90_wmse,adapted_candidate_count
ours_compact_anchor_safe,80,0.0038086692984506954,0.0467760875588283,0.01509398096241057,0.008696098579093814,6.1
pt_a57,80,0.004496962715347763,0.050684243883006276,0.017144308105343953,0.011878072400577366,1.0
meta_top12_sgd_mse50_valbest,80,0.006714820691558998,0.062298939237371086,0.025246360525488853,0.01965262833982706,12
zero_top12_sgd_mse50_valbest,80,0.0074017955208546485,0.06600604183040559,0.028099383256630972,0.020401739282533526,12
common12_sgd_mse50_valbest,80,0.0067073023310513236,0.0622201269492507,0.0252401674981229,0.01965262833982706,12
common12_sgd_mse50_anchor_safe,80,0.00681883162324084,0.06259495480917394,0.02556173886405304,0.02054710837546736,12
