method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
ours_compact_anchor_safe,c1105_h1_k20_btight,1105,1,20,tight,0.004561237059533596,0.055996958166360855,0.016461871564388275
ours_compact_anchor_safe,c1105_h4_k10_btight,1105,4,10,tight,0.00270220753736794,0.03991944342851639,0.011627395637333393
ours_compact_anchor_safe,c1105_h4_k20_btight,1105,4,20,tight,0.002428001957014203,0.038089267909526825,0.010853951796889305
ours_compact_anchor_safe,c1106_h1_k10_btight,1106,1,10,tight,0.006778654642403126,0.06857834756374359,0.025470523163676262
ours_compact_anchor_safe,c1106_h1_k20_btight,1106,1,20,tight,0.006147708278149366,0.06503051519393921,0.023663565516471863
ours_compact_anchor_safe,c1106_h4_k10_btight,1106,4,10,tight,0.006830275058746338,0.06832326948642731,0.02201060578227043
ours_compact_anchor_safe,c1106_h4_k20_btight,1106,4,20,tight,0.0070157903246581554,0.06912247836589813,0.02311893366277218
ours_compact_anchor_safe,c1107_h1_k10_bmedium,1107,1,10,medium,0.0026915958151221275,0.04127243906259537,0.011616367846727371
ours_compact_anchor_safe,c1107_h1_k20_bmedium,1107,1,20,medium,0.0022781214211136103,0.038037970662117004,0.009551153518259525
ours_compact_anchor_safe,c1107_h4_k10_bmedium,1107,4,10,medium,0.0031761745922267437,0.04526146128773689,0.011049818247556686
ours_compact_anchor_safe,c1107_h4_k20_bmedium,1107,4,20,medium,0.0031155964825302362,0.04480375349521637,0.010867576114833355
ours_compact_anchor_safe,c1108_h1_k10_btight,1108,1,10,tight,0.00255693681538105,0.04128909483551979,0.01006564125418663
ours_compact_anchor_safe,c1108_h1_k20_btight,1108,1,20,tight,0.0030347220599651337,0.04495188966393471,0.011751575395464897
ours_compact_anchor_safe,c1108_h4_k10_btight,1108,4,10,tight,0.0026527417358011007,0.04117877781391144,0.00998705718666315
ours_compact_anchor_safe,c1108_h4_k20_btight,1108,4,20,tight,0.0028472873382270336,0.04295192286372185,0.010433381423354149
ours_compact_anchor_safe,c1109_h1_k10_bmedium,1109,1,10,medium,0.006739231292158365,0.0658346489071846,0.028668113052845
ours_compact_anchor_safe,c1109_h1_k20_bmedium,1109,1,20,medium,0.00503033772110939,0.056781381368637085,0.02168947272002697
ours_compact_anchor_safe,c1109_h4_k10_bmedium,1109,4,10,medium,0.005567083600908518,0.05935926362872124,0.01743052341043949
ours_compact_anchor_safe,c1109_h4_k20_bmedium,1109,4,20,medium,0.0067191533744335175,0.06534339487552643,0.021952809765934944
ours_compact_anchor_safe,c1110_h1_k10_btight,1110,1,10,tight,0.0015538879670202732,0.029838822782039642,0.008174111135303974
ours_compact_anchor_safe,c1110_h1_k20_btight,1110,1,20,tight,0.0013652564957737923,0.028105398640036583,0.007013934664428234
ours_compact_anchor_safe,c1110_h4_k10_btight,1110,4,10,tight,0.001762567786499858,0.03318922966718674,0.007462713401764631
ours_compact_anchor_safe,c1110_h4_k20_btight,1110,4,20,tight,0.0017360654892399907,0.03291056677699089,0.007446729112416506
ours_compact_anchor_safe,c1111_h1_k10_bloose,1111,1,10,loose,0.0020964210852980614,0.03682516887784004,0.008627986535429955
ours_compact_anchor_safe,c1111_h1_k20_bloose,1111,1,20,loose,0.0014152955263853073,0.030169816687703133,0.0061438074335455894
ours_compact_anchor_safe,c1111_h4_k10_bloose,1111,4,10,loose,0.0020337312016636133,0.03630358353257179,0.007358521223068237
ours_compact_anchor_safe,c1111_h4_k20_bloose,1111,4,20,loose,0.001478097285144031,0.03095303103327751,0.0051614888943731785
ours_compact_anchor_safe,c1112_h1_k10_bmedium,1112,1,10,medium,0.004528510849922895,0.054815683513879776,0.019029676914215088
ours_compact_anchor_safe,c1112_h1_k20_bmedium,1112,1,20,medium,0.0044707306660711765,0.054394956678152084,0.01907568983733654
ours_compact_anchor_safe,c1112_h4_k10_bmedium,1112,4,10,medium,0.00446752505376935,0.05308271199464798,0.017679503187537193
ours_compact_anchor_safe,c1112_h4_k20_bmedium,1112,4,20,medium,0.0048460946418344975,0.055445753037929535,0.018893791362643242
ours_compact_anchor_safe,c1113_h1_k10_bmedium,1113,1,10,medium,0.0010842124465852976,0.026201993227005005,0.004823215305805206
ours_compact_anchor_safe,c1113_h1_k20_bmedium,1113,1,20,medium,0.001029568025842309,0.025559833273291588,0.004670293070375919
ours_compact_anchor_safe,c1113_h4_k10_bmedium,1113,4,10,medium,0.0017060487298294902,0.03337787836790085,0.0057739135809242725
ours_compact_anchor_safe,c1113_h4_k20_bmedium,1113,4,20,medium,0.0015540681779384613,0.03166491910815239,0.005405299831181765
ours_compact_anchor_safe,c1114_h1_k10_bmedium,1114,1,10,medium,0.008727993816137314,0.07780072838068008,0.03202284500002861
ours_compact_anchor_safe,c1114_h1_k20_bmedium,1114,1,20,medium,0.007553182076662779,0.07117355614900589,0.02917112037539482
ours_compact_anchor_safe,c1114_h4_k10_bmedium,1114,4,10,medium,0.006765267811715603,0.06727561354637146,0.022982824593782425
ours_compact_anchor_safe,c1114_h4_k20_bmedium,1114,4,20,medium,0.00568782864138484,0.06087595224380493,0.01976778730750084
ours_compact_anchor_safe,c1115_h1_k10_bmedium,1115,1,10,medium,0.009382382966578007,0.08028461784124374,0.035552579909563065
ours_compact_anchor_safe,c1115_h1_k20_bmedium,1115,1,20,medium,0.012865401804447174,0.09582548588514328,0.04502899944782257
ours_compact_anchor_safe,c1115_h4_k10_bmedium,1115,4,10,medium,0.006601659115403891,0.0643116906285286,0.025973739102482796
ours_compact_anchor_safe,c1115_h4_k20_bmedium,1115,4,20,medium,0.007698511239141226,0.07091141492128372,0.028714092448353767
ours_compact_anchor_safe,c1116_h1_k10_bmedium,1116,1,10,medium,0.0007867964450269938,0.0204413291066885,0.004669619258493185
ours_compact_anchor_safe,c1116_h1_k20_bmedium,1116,1,20,medium,0.0007560274680145085,0.02157784439623356,0.0037523163482546806
ours_compact_anchor_safe,c1116_h4_k10_bmedium,1116,4,10,medium,0.001518845558166504,0.029297826811671257,0.007813517935574055
ours_compact_anchor_safe,c1116_h4_k20_bmedium,1116,4,20,medium,0.0016875320579856634,0.027153432369232178,0.012009545229375362
ours_compact_anchor_safe,c1117_h1_k10_bmedium,1117,1,10,medium,0.006707514636218548,0.0650847926735878,0.031215842813253403
ours_compact_anchor_safe,c1117_h1_k20_bmedium,1117,1,20,medium,0.0062347473576664925,0.06228427588939667,0.029765132814645767
ours_compact_anchor_safe,c1117_h4_k10_bmedium,1117,4,10,medium,0.008719910867512226,0.07551275193691254,0.033190611749887466
ours_compact_anchor_safe,c1117_h4_k20_bmedium,1117,4,20,medium,0.00760561553761363,0.070368692278862,0.029408564791083336
ours_compact_anchor_safe,c1118_h1_k10_bmedium,1118,1,10,medium,0.004737170413136482,0.056269437074661255,0.018035203218460083
ours_compact_anchor_safe,c1118_h1_k20_bmedium,1118,1,20,medium,0.0032305873464792967,0.04690258577466011,0.012779558077454567
ours_compact_anchor_safe,c1118_h4_k10_bmedium,1118,4,10,medium,0.0046053011901676655,0.05481008440256119,0.01799696683883667
ours_compact_anchor_safe,c1118_h4_k20_bmedium,1118,4,20,medium,0.004442915320396423,0.053864188492298126,0.01737133041024208
ours_compact_anchor_safe,c1119_h1_k10_bmedium,1119,1,10,medium,0.0027215948794037104,0.04239992797374725,0.011076719500124454
ours_compact_anchor_safe,c1119_h1_k20_bmedium,1119,1,20,medium,0.002816908759996295,0.04304228350520134,0.011502744629979134
ours_compact_anchor_safe,c1119_h4_k10_bmedium,1119,4,10,medium,0.00358384707942605,0.04806063696742058,0.013721800409257412
ours_compact_anchor_safe,c1119_h4_k20_bmedium,1119,4,20,medium,0.0041383435018360615,0.05134732276201248,0.016755107790231705
pt_a57,c1100_h1_k10_btight,1100,1,10,tight,0.004461362026631832,0.052137698978185654,0.021245291456580162
pt_a57,c1100_h1_k20_btight,1100,1,20,tight,0.004487024154514074,0.05248228460550308,0.021389909088611603
pt_a57,c1100_h4_k10_btight,1100,4,10,tight,0.005976047832518816,0.059249792248010635,0.0250801220536232
pt_a57,c1100_h4_k20_btight,1100,4,20,tight,0.005833878647536039,0.05859345570206642,0.024445079267024994
pt_a57,c1101_h1_k10_bmedium,1101,1,10,medium,0.0013082610676065087,0.029288342222571373,0.005380026996135712
pt_a57,c1101_h1_k20_bmedium,1101,1,20,medium,0.001448277267627418,0.031020019203424454,0.0060414765030145645
pt_a57,c1101_h4_k10_bmedium,1101,4,10,medium,0.0013207930605858564,0.029121307656168938,0.00472685182467103
pt_a57,c1101_h4_k20_bmedium,1101,4,20,medium,0.0013170635793358088,0.029091397300362587,0.004658989142626524
pt_a57,c1102_h1_k10_btight,1102,1,10,tight,0.005925693549215794,0.06344816088676453,0.022576283663511276
pt_a57,c1102_h1_k20_btight,1102,1,20,tight,0.003919627051800489,0.050417546182870865,0.01691739447414875
pt_a57,c1102_h4_k10_btight,1102,4,10,tight,0.006773354019969702,0.0661984235048294,0.025761261582374573
pt_a57,c1102_h4_k20_btight,1102,4,20,tight,0.003917539957910776,0.0494115836918354,0.01673227921128273
pt_a57,c1103_h1_k10_bmedium,1103,1,10,medium,0.001299703260883689,0.02877569943666458,0.005781328305602074
pt_a57,c1103_h1_k20_bmedium,1103,1,20,medium,0.0012157333549112082,0.027977218851447105,0.0057394434697926044
pt_a57,c1103_h4_k10_bmedium,1103,4,10,medium,0.001431647571735084,0.029371438547968864,0.006423926912248135
pt_a57,c1103_h4_k20_bmedium,1103,4,20,medium,0.00135540752671659,0.028701800853013992,0.006157756317406893
pt_a57,c1104_h1_k10_bloose,1104,1,10,loose,0.0010152104077860713,0.02473318949341774,0.004780895542353392
pt_a57,c1104_h1_k20_bloose,1104,1,20,loose,0.0011257596779614687,0.02607548236846924,0.0052657839842140675
pt_a57,c1104_h4_k10_bloose,1104,4,10,loose,0.0013537604827433825,0.029071254655718803,0.0055282083339989185
pt_a57,c1104_h4_k20_bloose,1104,4,20,loose,0.00155691581312567,0.031266506761312485,0.0062044053338468075
pt_a57,c1105_h1_k10_btight,1105,1,10,tight,0.003399753477424383,0.04750659689307213,0.013034909963607788
pt_a57,c1105_h1_k20_btight,1105,1,20,tight,0.004561237059533596,0.055996958166360855,0.016461871564388275
pt_a57,c1105_h4_k10_btight,1105,4,10,tight,0.003816072130575776,0.050323668867349625,0.013620796613395214
pt_a57,c1105_h4_k20_btight,1105,4,20,tight,0.004127772990614176,0.05264227092266083,0.01482023298740387
pt_a57,c1106_h1_k10_btight,1106,1,10,tight,0.006778654642403126,0.06857834756374359,0.025470523163676262
pt_a57,c1106_h1_k20_btight,1106,1,20,tight,0.006147708278149366,0.06503051519393921,0.023663565516471863
pt_a57,c1106_h4_k10_btight,1106,4,10,tight,0.010990659706294537,0.08950379490852356,0.03204885870218277
pt_a57,c1106_h4_k20_btight,1106,4,20,tight,0.0070157903246581554,0.06912247836589813,0.02311893366277218
pt_a57,c1107_h1_k10_bmedium,1107,1,10,medium,0.0026915958151221275,0.04127243906259537,0.011616367846727371
pt_a57,c1107_h1_k20_bmedium,1107,1,20,medium,0.002766592428088188,0.04194936528801918,0.01193302683532238
pt_a57,c1107_h4_k10_bmedium,1107,4,10,medium,0.00486731668934226,0.056176185607910156,0.016778457909822464
pt_a57,c1107_h4_k20_bmedium,1107,4,20,medium,0.003668180899694562,0.048201002180576324,0.012686837464571
pt_a57,c1108_h1_k10_btight,1108,1,10,tight,0.00255693681538105,0.04128909483551979,0.01006564125418663
pt_a57,c1108_h1_k20_btight,1108,1,20,tight,0.0030347220599651337,0.04495188966393471,0.011751575395464897
pt_a57,c1108_h4_k10_btight,1108,4,10,tight,0.0026527417358011007,0.04117877781391144,0.00998705718666315
pt_a57,c1108_h4_k20_btight,1108,4,20,tight,0.0028472873382270336,0.04295192286372185,0.010433381423354149
pt_a57,c1109_h1_k10_bmedium,1109,1,10,medium,0.006739231292158365,0.0658346489071846,0.028668113052845
pt_a57,c1109_h1_k20_bmedium,1109,1,20,medium,0.009550445713102818,0.0792732909321785,0.04033011943101883
pt_a57,c1109_h4_k10_bmedium,1109,4,10,medium,0.00770194735378027,0.06949466466903687,0.025081679224967957
pt_a57,c1109_h4_k20_bmedium,1109,4,20,medium,0.008437254466116428,0.07349660247564316,0.02922581136226654
pt_a57,c1110_h1_k10_btight,1110,1,10,tight,0.0015538879670202732,0.029838822782039642,0.008174111135303974
pt_a57,c1110_h1_k20_btight,1110,1,20,tight,0.0013652564957737923,0.028105398640036583,0.007013934664428234
pt_a57,c1110_h4_k10_btight,1110,4,10,tight,0.001762567786499858,0.03318922966718674,0.007462713401764631
pt_a57,c1110_h4_k20_btight,1110,4,20,tight,0.0017360654892399907,0.03291056677699089,0.007446729112416506
pt_a57,c1111_h1_k10_bloose,1111,1,10,loose,0.0023998264223337173,0.0405154787003994,0.008891814388334751
pt_a57,c1111_h1_k20_bloose,1111,1,20,loose,0.0016639344394207,0.0337044782936573,0.006466102786362171
pt_a57,c1111_h4_k10_bloose,1111,4,10,loose,0.0020337312016636133,0.03630358353257179,0.007358521223068237
pt_a57,c1111_h4_k20_bloose,1111,4,20,loose,0.001478097285144031,0.03095303103327751,0.0051614888943731785
pt_a57,c1112_h1_k10_bmedium,1112,1,10,medium,0.004528510849922895,0.054815683513879776,0.019029676914215088
pt_a57,c1112_h1_k20_bmedium,1112,1,20,medium,0.0044707306660711765,0.054394956678152084,0.01907568983733654
pt_a57,c1112_h4_k10_bmedium,1112,4,10,medium,0.00446752505376935,0.05308271199464798,0.017679503187537193
pt_a57,c1112_h4_k20_bmedium,1112,4,20,medium,0.0048460946418344975,0.055445753037929535,0.018893791362643242
pt_a57,c1113_h1_k10_bmedium,1113,1,10,medium,0.0010842124465852976,0.026201993227005005,0.004823215305805206
pt_a57,c1113_h1_k20_bmedium,1113,1,20,medium,0.001029568025842309,0.025559833273291588,0.004670293070375919
pt_a57,c1113_h4_k10_bmedium,1113,4,10,medium,0.0017060487298294902,0.03337787836790085,0.0057739135809242725
pt_a57,c1113_h4_k20_bmedium,1113,4,20,medium,0.0015540681779384613,0.03166491910815239,0.005405299831181765
pt_a57,c1114_h1_k10_bmedium,1114,1,10,medium,0.008448651991784573,0.07486804574728012,0.0349658764898777
pt_a57,c1114_h1_k20_bmedium,1114,1,20,medium,0.007205476053059101,0.06797343492507935,0.0302138589322567
pt_a57,c1114_h4_k10_bmedium,1114,4,10,medium,0.008516787551343441,0.07495300471782684,0.03101770021021366
pt_a57,c1114_h4_k20_bmedium,1114,4,20,medium,0.0069760894402861595,0.06733138859272003,0.025557732209563255
pt_a57,c1115_h1_k10_bmedium,1115,1,10,medium,0.009382382966578007,0.08028461784124374,0.035552579909563065
pt_a57,c1115_h1_k20_bmedium,1115,1,20,medium,0.012865401804447174,0.09582548588514328,0.04502899944782257
pt_a57,c1115_h4_k10_bmedium,1115,4,10,medium,0.006601659115403891,0.0643116906285286,0.025973739102482796
pt_a57,c1115_h4_k20_bmedium,1115,4,20,medium,0.007698511239141226,0.07091141492128372,0.028714092448353767
pt_a57,c1116_h1_k10_bmedium,1116,1,10,medium,0.0007867964450269938,0.0204413291066885,0.004669619258493185
pt_a57,c1116_h1_k20_bmedium,1116,1,20,medium,0.0008553491206839681,0.022668594494462013,0.004185541067272425
pt_a57,c1116_h4_k10_bmedium,1116,4,10,medium,0.001518845558166504,0.029297826811671257,0.007813517935574055
pt_a57,c1116_h4_k20_bmedium,1116,4,20,medium,0.0020900762174278498,0.036721229553222656,0.00872503686696291
pt_a57,c1117_h1_k10_bmedium,1117,1,10,medium,0.012298709712922573,0.09450031816959381,0.041521165519952774
pt_a57,c1117_h1_k20_bmedium,1117,1,20,medium,0.01280797366052866,0.09688806533813477,0.04251644015312195
pt_a57,c1117_h4_k10_bmedium,1117,4,10,medium,0.01422400027513504,0.0983152911067009,0.045899588614702225
pt_a57,c1117_h4_k20_bmedium,1117,4,20,medium,0.012905005365610123,0.09281905740499496,0.04298638552427292
pt_a57,c1118_h1_k10_bmedium,1118,1,10,medium,0.0057967789471149445,0.060821283608675,0.02464781142771244
pt_a57,c1118_h1_k20_bmedium,1118,1,20,medium,0.004954079166054726,0.05630119517445564,0.021705415099859238
pt_a57,c1118_h4_k10_bmedium,1118,4,10,medium,0.00603758217766881,0.06332121044397354,0.02200167626142502
pt_a57,c1118_h4_k20_bmedium,1118,4,20,medium,0.0054510789923369884,0.06006341800093651,0.01983022689819336
pt_a57,c1119_h1_k10_bmedium,1119,1,10,medium,0.0027215948794037104,0.04239992797374725,0.011076719500124454
pt_a57,c1119_h1_k20_bmedium,1119,1,20,medium,0.002816908759996295,0.04304228350520134,0.011502744629979134
pt_a57,c1119_h4_k10_bmedium,1119,4,10,medium,0.00358384707942605,0.04806063696742058,0.013721800409257412
pt_a57,c1119_h4_k20_bmedium,1119,4,20,medium,0.0041383435018360615,0.05134732276201248,0.016755107790231705
meta_top12_sgd_mse50_valbest,c1100_h1_k10_btight,1100,1,10,tight,0.0064775170758366585,0.06537272781133652,0.026051204651594162
meta_top12_sgd_mse50_valbest,c1100_h1_k20_btight,1100,1,20,tight,0.006152208428829908,0.0637534037232399,0.02548191510140896
meta_top12_sgd_mse50_valbest,c1100_h4_k10_btight,1100,4,10,tight,0.00681077828630805,0.06587303429841995,0.02518211305141449
meta_top12_sgd_mse50_valbest,c1100_h4_k20_btight,1100,4,20,tight,0.006864331196993589,0.06613810360431671,0.02547389641404152
meta_top12_sgd_mse50_valbest,c1101_h1_k10_bmedium,1101,1,10,medium,0.002417460549622774,0.040777795016765594,0.008943131193518639
meta_top12_sgd_mse50_valbest,c1101_h1_k20_bmedium,1101,1,20,medium,0.0025546082761138678,0.0414939820766449,0.009793831035494804
meta_top12_sgd_mse50_valbest,c1101_h4_k10_bmedium,1101,4,10,medium,0.003320269985124469,0.04718264564871788,0.01242320891469717
meta_top12_sgd_mse50_valbest,c1101_h4_k20_bmedium,1101,4,20,medium,0.003506638342514634,0.04835786670446396,0.012747087515890598
meta_top12_sgd_mse50_valbest,c1102_h1_k10_btight,1102,1,10,tight,0.00837663747370243,0.0735296756029129,0.03354492038488388
meta_top12_sgd_mse50_valbest,c1102_h1_k20_btight,1102,1,20,tight,0.005008258391171694,0.05468115210533142,0.02235662378370762
meta_top12_sgd_mse50_valbest,c1102_h4_k10_btight,1102,4,10,tight,0.012717870064079762,0.09125858545303345,0.04676424339413643
meta_top12_sgd_mse50_valbest,c1102_h4_k20_btight,1102,4,20,tight,0.008193641901016235,0.07053587585687637,0.03322463110089302
meta_top12_sgd_mse50_valbest,c1103_h1_k10_bmedium,1103,1,10,medium,0.0017619997961446643,0.03366343677043915,0.00769828911870718
meta_top12_sgd_mse50_valbest,c1103_h1_k20_bmedium,1103,1,20,medium,0.001650103717111051,0.033403679728507996,0.006706540007144213
meta_top12_sgd_mse50_valbest,c1103_h4_k10_bmedium,1103,4,10,medium,0.0025669049937278032,0.040888711810112,0.009902079589664936
meta_top12_sgd_mse50_valbest,c1103_h4_k20_bmedium,1103,4,20,medium,0.0021005820017307997,0.037597909569740295,0.007821561768651009
meta_top12_sgd_mse50_valbest,c1104_h1_k10_bloose,1104,1,10,loose,0.001929895137436688,0.03627066686749458,0.007702436298131943
meta_top12_sgd_mse50_valbest,c1104_h1_k20_bloose,1104,1,20,loose,0.0019511050777509809,0.03442177176475525,0.009903681464493275
meta_top12_sgd_mse50_valbest,c1104_h4_k10_bloose,1104,4,10,loose,0.003393754828721285,0.047492388635873795,0.012404237873852253
meta_top12_sgd_mse50_valbest,c1104_h4_k20_bloose,1104,4,20,loose,0.0029835838358849287,0.04410279169678688,0.011809888295829296
meta_top12_sgd_mse50_valbest,c1105_h1_k10_btight,1105,1,10,tight,0.0033284772653132677,0.04652545601129532,0.013627025298774242
meta_top12_sgd_mse50_valbest,c1105_h1_k20_btight,1105,1,20,tight,0.005572191905230284,0.06219867989420891,0.01976659893989563
meta_top12_sgd_mse50_valbest,c1105_h4_k10_btight,1105,4,10,tight,0.004923225846141577,0.05698045343160629,0.0170632004737854
meta_top12_sgd_mse50_valbest,c1105_h4_k20_btight,1105,4,20,tight,0.0058470601215958595,0.0628582015633583,0.020426930859684944
meta_top12_sgd_mse50_valbest,c1106_h1_k10_btight,1106,1,10,tight,0.006175498012453318,0.06379053741693497,0.02425285428762436
meta_top12_sgd_mse50_valbest,c1106_h1_k20_btight,1106,1,20,tight,0.007150700315833092,0.06873572617769241,0.027804335579276085
meta_top12_sgd_mse50_valbest,c1106_h4_k10_btight,1106,4,10,tight,0.014300638809800148,0.09993009269237518,0.04075450822710991
meta_top12_sgd_mse50_valbest,c1106_h4_k20_btight,1106,4,20,tight,0.010694155469536781,0.08388039469718933,0.0348488874733448
meta_top12_sgd_mse50_valbest,c1107_h1_k10_bmedium,1107,1,10,medium,0.006006929557770491,0.06207551062107086,0.0258176252245903
meta_top12_sgd_mse50_valbest,c1107_h1_k20_bmedium,1107,1,20,medium,0.0057863579131662846,0.0605258047580719,0.02590528503060341
meta_top12_sgd_mse50_valbest,c1107_h4_k10_bmedium,1107,4,10,medium,0.007851539179682732,0.07007785886526108,0.030882421880960464
meta_top12_sgd_mse50_valbest,c1107_h4_k20_bmedium,1107,4,20,medium,0.0072596268728375435,0.0672835111618042,0.02813393995165825
meta_top12_sgd_mse50_valbest,c1108_h1_k10_btight,1108,1,10,tight,0.004106632433831692,0.0520232655107975,0.017186053097248077
meta_top12_sgd_mse50_valbest,c1108_h1_k20_btight,1108,1,20,tight,0.003323181066662073,0.04595766216516495,0.014539146795868874
meta_top12_sgd_mse50_valbest,c1108_h4_k10_btight,1108,4,10,tight,0.005155735183507204,0.05794462934136391,0.019858241081237793
meta_top12_sgd_mse50_valbest,c1108_h4_k20_btight,1108,4,20,tight,0.005563236307352781,0.06171955540776253,0.020620549097657204
meta_top12_sgd_mse50_valbest,c1109_h1_k10_bmedium,1109,1,10,medium,0.010609667748212814,0.08391117304563522,0.04352866858243942
meta_top12_sgd_mse50_valbest,c1109_h1_k20_bmedium,1109,1,20,medium,0.008863458409905434,0.0758066177368164,0.037830594927072525
meta_top12_sgd_mse50_valbest,c1109_h4_k10_bmedium,1109,4,10,medium,0.011109823361039162,0.08550669997930527,0.036242540925741196
meta_top12_sgd_mse50_valbest,c1109_h4_k20_bmedium,1109,4,20,medium,0.014850788749754429,0.09834703058004379,0.053747113794088364
meta_top12_sgd_mse50_valbest,c1110_h1_k10_btight,1110,1,10,tight,0.002555804094299674,0.04085917770862579,0.010412534698843956
meta_top12_sgd_mse50_valbest,c1110_h1_k20_btight,1110,1,20,tight,0.002627066569402814,0.04165548458695412,0.01050135213881731
meta_top12_sgd_mse50_valbest,c1110_h4_k10_btight,1110,4,10,tight,0.0030200104229152203,0.04411426559090614,0.011392920278012753
meta_top12_sgd_mse50_valbest,c1110_h4_k20_btight,1110,4,20,tight,0.0030914682429283857,0.044710904359817505,0.012056589126586914
meta_top12_sgd_mse50_valbest,c1111_h1_k10_bloose,1111,1,10,loose,0.001832084613852203,0.03414138779044151,0.008367577567696571
meta_top12_sgd_mse50_valbest,c1111_h1_k20_bloose,1111,1,20,loose,0.0024501788429915905,0.03878876194357872,0.011338729411363602
meta_top12_sgd_mse50_valbest,c1111_h4_k10_bloose,1111,4,10,loose,0.0018605295335873961,0.0343250036239624,0.00756547087803483
meta_top12_sgd_mse50_valbest,c1111_h4_k20_bloose,1111,4,20,loose,0.0022967776749283075,0.03892553597688675,0.008260633796453476
