step,candidate_check_wmse_mean,selected_check_wmse_mean,selected_validation_wmse_mean,rank_spearman_vs_50_mean,selector_agreement_with_50,best_alternative_agreement_with_50,cumulative_adaptation_seconds_per_case_mean,selected_check_reduction_vs_step0,selected_check_reduction_vs_step20
0,0.00724242432478291,0.003972650150899426,0.003691093971428927,0.6825000000000001,0.5125,0.5375,0.0,0.0,-0.05264924259318222
1,0.006842682854920046,0.003908012179817888,0.0036432917237107175,0.7039285714285715,0.5125,0.5125,0.12768920875001327,0.01627074336023101,-0.035521856918606994
5,0.00604313285758439,0.0037805604395543925,0.0035412381890637334,0.7402678571428571,0.5875,0.5,0.6399848024999903,0.0483530399104463,-0.001750451754372998
10,0.005707142739290148,0.0037281250672094755,0.0034700762778811624,0.8293750000000003,0.6625,0.5875,1.2621797724999824,0.06155213128269974,0.012143561781547792
20,0.005532199758711024,0.003773954314601724,0.003473659091105219,0.9133928571428573,0.775,0.8,2.4894558687499986,0.050015941172846676,0.0
50,0.005543738916824951,0.0037840411598153876,0.0035615711502032356,1.0,1.0,1.0,6.1264613800000145,0.04747686906028199,-0.0026727523361806827
