repeat,N_cases,total_seconds,mean_seconds,std_case_seconds,median_case_seconds,min_case_seconds,max_case_seconds,performance_unchanged
1,80,2446.007689899532,30.575096123744153,18.081750455615175,24.540804599993862,7.88899639993906,75.63693169993348,True
2,80,1459.698935699067,18.246236696238338,6.804758205315449,17.38965799997095,7.34969619999174,59.024494700017385,True
3,80,1407.3938896000618,17.592423620000773,5.0445243952017815,16.637378999963403,7.42578070005402,31.63899060001131,True
4,80,1416.0785058009205,17.700981322511506,5.354868453563157,16.62142225005664,7.824361400096677,33.6179333999753,True
5,80,1410.6085395996513,17.63260674499564,7.216614484442958,15.9725007499801,7.365045800000075,57.06061539996881,True
