method,mse,worst10,cvar90,target_time_seconds,parameter_count,estimated_operation_count
PT+FT,0.005120421673927922,0.019077647311496547,0.013873621355742216,0.2038945182499694,5746.5,1050784.0
Few-shot NAS,0.00710509527270915,0.026500841305823995,0.019088744185864925,13.470930531500008,30995.3,1468894.4
H-Meta-NAS,0.013573941797949374,0.04615309640066698,0.03493489627726376,20.34946890149808,26627.2,1700279.0
Zero-shot NAS+FT,0.007527162291808054,0.02853947241092101,0.018780700745992362,17.60050385699997,62075.9,1571621.4
MSA-DTI,0.004219294705762877,0.01575515691365581,0.011706208228133619,5.676108809500022,14892.5,751433.2
