adaptation_steps,selected_check_wmse_mean,selection_agreement_with_50
0,0.003972650150899426,0.5125
1,0.003908012179817888,0.5125
5,0.0037805604395543925,0.5875
10,0.0037281250672094755,0.6625
20,0.003773954314601724,0.775
50,0.0037840411598153876,1.0
