group,case_key,source_seed,proposed_mse,matched_reference_mse,gain_percent
Source seed 2904,seed2904_c1060_h1_k10_btight,2904,0.0047056907787919044,0.0047056907787919044,0
Source seed 2904,seed2904_c1060_h1_k20_btight,2904,0.0073060635477304459,0.0073060635477304459,0
Source seed 2904,seed2904_c1060_h4_k10_btight,2904,0.0077680051326751709,0.0077680051326751709,0
Source seed 2904,seed2904_c1060_h4_k20_btight,2904,0.007798314094543457,0.007798314094543457,0
Source seed 2904,seed2904_c1061_h1_k10_btight,2904,0.0084644639864563942,0.0084644639864563942,0
Source seed 2904,seed2904_c1061_h1_k20_btight,2904,0.0076195546425879002,0.0076195546425879002,0
Source seed 2904,seed2904_c1061_h4_k10_btight,2904,0.010028007440268993,0.010028007440268993,0
Source seed 2904,seed2904_c1061_h4_k20_btight,2904,0.0095742838457226753,0.0095742838457226753,0
Source seed 2904,seed2904_c1062_h1_k10_btight,2904,0.0030468981713056564,0.0030468981713056564,0
Source seed 2904,seed2904_c1062_h1_k20_btight,2904,0.0022700526751577854,0.0022700526751577854,0
Source seed 2904,seed2904_c1062_h4_k10_btight,2904,0.0058520976454019547,0.0058520976454019547,0
Source seed 2904,seed2904_c1062_h4_k20_btight,2904,0.0041787251830101013,0.0041787251830101013,0
Source seed 2904,seed2904_c1063_h1_k10_bloose,2904,0.010606297291815281,0.010606297291815281,0
Source seed 2904,seed2904_c1063_h1_k20_bloose,2904,0.0060527930036187172,0.0060527930036187172,0
Source seed 2904,seed2904_c1063_h4_k10_bloose,2904,0.015216035768389702,0.018522921949625015,17.85294021228794
Source seed 2904,seed2904_c1063_h4_k20_bloose,2904,0.0088449195027351379,0.0088449195027351379,0
Source seed 2904,seed2904_c1064_h1_k10_bmedium,2904,0.00056047964608296752,0.0013189464807510376,57.505505017624529
Source seed 2904,seed2904_c1064_h1_k20_bmedium,2904,0.00073112733662128448,0.00084685249021276832,13.665326007650794
Source seed 2904,seed2904_c1064_h4_k10_bmedium,2904,0.00059683917788788676,0.0016182938124984503,63.119232535009253
Source seed 2904,seed2904_c1064_h4_k20_bmedium,2904,0.00054428953444585204,0.00098763278219848871,44.88948278587376
Source seed 2904,seed2904_c1065_h1_k10_bmedium,2904,0.0031405612826347351,0.0031405612826347351,0
Source seed 2904,seed2904_c1065_h1_k20_bmedium,2904,0.0037249617744237185,0.0037249617744237185,0
Source seed 2904,seed2904_c1065_h4_k10_bmedium,2904,0.0047388193197548389,0.0047388193197548389,0
Source seed 2904,seed2904_c1065_h4_k20_bmedium,2904,0.0055454657413065434,0.0055454657413065434,0
Source seed 2904,seed2904_c1066_h1_k10_btight,2904,0.00077322841389104724,0.00077322841389104724,0
Source seed 2904,seed2904_c1066_h1_k20_btight,2904,0.00078941322863101959,0.00078941322863101959,0
Source seed 2904,seed2904_c1066_h4_k10_btight,2904,0.0010354368714615703,0.0010354368714615703,0
Source seed 2904,seed2904_c1066_h4_k20_btight,2904,0.0010412194533273578,0.0010412194533273578,0
Source seed 2904,seed2904_c1067_h1_k10_bmedium,2904,0.00059150828747078776,0.0013574379263445735,56.4246529442674
Source seed 2904,seed2904_c1067_h1_k20_bmedium,2904,0.00048774536116980016,0.00098363682627677917,50.414080874137923
Source seed 2904,seed2904_c1067_h4_k10_bmedium,2904,0.0005966197932139039,0.0015799760585650802,62.238681404087316
Source seed 2904,seed2904_c1067_h4_k20_bmedium,2904,0.00064288161229342222,0.001144597539678216,43.833392086955087
Source seed 2904,seed2904_c1068_h1_k10_btight,2904,0.0083630243316292763,0.0083630243316292763,0
Source seed 2904,seed2904_c1068_h1_k20_btight,2904,0.0083371503278613091,0.0083371503278613091,0
Source seed 2904,seed2904_c1068_h4_k10_btight,2904,0.011105193756520748,0.011105193756520748,0
Source seed 2904,seed2904_c1068_h4_k20_btight,2904,0.012181982398033142,0.012181982398033142,0
Source seed 2904,seed2904_c1069_h1_k10_bloose,2904,0.0041310950182378292,0.0049050915986299515,15.779452122939119
Source seed 2904,seed2904_c1069_h1_k20_bloose,2904,0.0027276370674371719,0.0032416442409157753,15.856372114831288
Source seed 2904,seed2904_c1069_h4_k10_bloose,2904,0.0071635497733950615,0.0071635497733950615,0
Source seed 2904,seed2904_c1069_h4_k20_bloose,2904,0.0052222991362214088,0.0052222991362214088,0
Source seed 2904,seed2904_c1070_h1_k10_bloose,2904,0.0037730173207819462,0.0037730173207819462,0
Source seed 2904,seed2904_c1070_h1_k20_bloose,2904,0.0028173737227916718,0.0048494637012481689,41.903395996828927
Source seed 2904,seed2904_c1070_h4_k10_bloose,2904,0.0034899229649454355,0.0057804086245596409,39.624978239124012
Source seed 2904,seed2904_c1070_h4_k20_bloose,2904,0.0035072183236479759,0.0081872167065739632,57.162263448677997
Source seed 2904,seed2904_c1071_h1_k10_btight,2904,0.0049545476213097572,0.0049545476213097572,0
Source seed 2904,seed2904_c1071_h1_k20_btight,2904,0.0047441385686397552,0.0047441385686397552,0
Source seed 2904,seed2904_c1071_h4_k10_btight,2904,0.0090506505221128464,0.0090506505221128464,0
Source seed 2904,seed2904_c1071_h4_k20_btight,2904,0.0075855087488889694,0.0075855087488889694,0
Source seed 2904,seed2904_c1072_h1_k10_bmedium,2904,0.0030635299626737833,0.0036446424201130867,15.944292757841318
Source seed 2904,seed2904_c1072_h1_k20_bmedium,2904,0.0021559500601142645,0.0021559500601142645,0
Source seed 2904,seed2904_c1072_h4_k10_bmedium,2904,0.003745384281501174,0.0059925508685410023,37.499332693807283
Source seed 2904,seed2904_c1072_h4_k20_bmedium,2904,0.0026794201694428921,0.0032593121286481619,17.791851050662853
Source seed 2904,seed2904_c1073_h1_k10_bmedium,2904,0.0063682505860924721,0.0053977943025529385,-17.978756305710778
Source seed 2904,seed2904_c1073_h1_k20_bmedium,2904,0.0057383566163480282,0.0057383566163480282,0
Source seed 2904,seed2904_c1073_h4_k10_bmedium,2904,0.0082490872591733932,0.0075067947618663311,-9.8882748343916926
Source seed 2904,seed2904_c1073_h4_k20_bmedium,2904,0.0072412658482789993,0.0072412658482789993,0
Source seed 2904,seed2904_c1074_h1_k10_btight,2904,0.0022538909688591957,0.0030164755880832672,25.280649451853645
Source seed 2904,seed2904_c1074_h1_k20_btight,2904,0.0030280363280326128,0.0030280363280326128,0
Source seed 2904,seed2904_c1074_h4_k10_btight,2904,0.0036265857052057981,0.0036265857052057981,0
Source seed 2904,seed2904_c1074_h4_k20_btight,2904,0.0030049702618271112,0.0030049702618271112,0
Source seed 2904,seed2904_c1075_h1_k10_bmedium,2904,0.0011173372622579336,0.0011173372622579336,0
Source seed 2904,seed2904_c1075_h1_k20_bmedium,2904,0.0010091355070471764,0.0010422737104818225,3.1794146874650608
Source seed 2904,seed2904_c1075_h4_k10_bmedium,2904,0.0016704279696568847,0.0020517648663371801,18.585799130143982
Source seed 2904,seed2904_c1075_h4_k20_bmedium,2904,0.001396657433360815,0.001544546103104949,9.574895138891506
Source seed 2904,seed2904_c1076_h1_k10_bloose,2904,0.00098759029060602188,0.0013235379010438919,25.382545537449566
Source seed 2904,seed2904_c1076_h1_k20_bloose,2904,0.00091647764202207327,0.0011612172238528728,21.076123984689385
