group,mean_gain_percent,ci_low_percent,ci_high_percent,cases
Source seed 2904,10.52274901656262,3.929527863791622,18.16565293138254,80
Source seed 2905,13.20785606005474,7.620928164538154,18.89050591901878,80
Source seed 2906,11.253624787587386,5.231619368370124,17.961200713431666,80
Alibaba,4.197470294764814,2.0283205030872704,6.70326251395583,160
